update,global_step,mean_reward,done_rate,policy_loss,value_loss,entropy,approx_kl,explained_variance,steps_per_second,device,policy_mode,residual_scale
1,6144,-0.02102634496986866,0.0,0.0016944579417920774,1.5476544698079426,3.1148577531178794,0.012412061976243017,-0.004018425941467285,182.7831282729215,cuda,residual_expert,0.4
2,12288,0.4575541019439697,0.0048828125,0.0031132546977864373,591.1005249023438,3.1169272793663874,0.010384510452341702,0.0007372498512268066,340.36168158747927,cuda,residual_expert,0.4
3,18432,0.20304803550243378,0.0032552082557231188,-0.0010433261826013525,270.2291547987196,3.1178429656558566,0.0023150837579224673,0.0028402209281921387,210.59184630184674,cuda,residual_expert,0.4
4,24576,0.3801915645599365,0.005859375,-0.00025152259816726047,668.7769571940104,3.118692318598429,0.0029914864604102653,0.003204524517059326,257.8467479912723,cuda,residual_expert,0.4
5,30720,0.25049594044685364,0.0029296875,-0.0010284321486122077,348.5606045193142,3.1200172901153564,0.0010767667974707568,0.007022082805633545,247.14642479242013,cuda,residual_expert,0.4
6,36864,0.2926226854324341,0.0042317709885537624,-0.0003080345793730683,465.65655517578125,3.121922837363349,0.0007108884326751448,0.006481945514678955,238.86404714597205,cuda,residual_expert,0.4
7,43008,0.32625964283943176,0.0048828125,-0.0007574615172213978,525.6114908854166,3.1237210432688394,0.0018082542681238717,0.009672462940216064,252.11112092524974,cuda,residual_expert,0.4
8,49152,0.28265270590782166,0.00390625,-0.0009492267337110308,459.7120836046007,3.124879969490899,0.003270461925745217,0.011751711368560791,241.1998632389329,cuda,residual_expert,0.4
9,55296,0.2796720564365387,0.0042317709885537624,0.0020580661690069568,482.42049831814234,3.127211226357354,0.0025795845754651558,0.012062788009643555,241.73805389757507,cuda,residual_expert,0.4
10,61440,0.3320683538913727,0.0042317709885537624,-0.0005858514664901628,495.294426812066,3.1286873287624783,0.0021119963623479837,0.015220046043395996,258.01607682922383,cuda,residual_expert,0.4
11,67584,0.19085204601287842,0.0029296875,-0.0018212551044093238,296.3983900282118,3.129881408479479,0.0014907387473310034,0.02240651845932007,229.3837173442153,cuda,residual_expert,0.4
12,73728,0.32051125168800354,0.0042317709885537624,0.0006617814716365603,473.17163425021704,3.130482859081692,0.001963508412397156,0.023741722106933594,264.6933447185326,cuda,residual_expert,0.4
13,79872,0.24122972786426544,0.0048828125,-0.00031638098880648613,502.1829901801215,3.13091156217787,0.0013934268726087692,0.027526676654815674,231.9322096137883,cuda,residual_expert,0.4
14,86016,0.2733313739299774,0.0045572915114462376,-0.0006724929747482141,533.0754699707031,3.1312476529015436,0.0019385558003301008,0.03785693645477295,255.0229602108025,cuda,residual_expert,0.4
15,92160,0.20296524465084076,0.0032552082557231188,-0.0002493979926738474,320.01585896809894,3.1319850550757513,0.0011840151014944746,0.02818143367767334,240.72335293176087,cuda,residual_expert,0.4
16,98304,0.3153984546661377,0.0045572915114462376,0.00038985178495446843,485.54947238498266,3.1334160963694253,0.003074368229135871,0.03811365365982056,254.55070405859018,cuda,residual_expert,0.4
17,104448,0.3046869933605194,0.0042317709885537624,-0.00031982393314441043,464.0650939941406,3.1346424420674643,0.001292071816149271,0.025058746337890625,258.89628595491826,cuda,residual_expert,0.4
18,110592,0.24664795398712158,0.00390625,-0.002056367177930143,447.510979546441,3.13617385758294,0.0011735559835667824,0.027547597885131836,239.73040762096332,cuda,residual_expert,0.4
19,116736,0.29364416003227234,0.0032552082557231188,-0.001630727615621355,376.55396525065106,3.137459543016222,0.0017014153062417689,0.04509705305099487,274.2579042771373,cuda,residual_expert,0.4
20,122880,0.2696230709552765,0.0052083334885537624,-0.001432156293756432,535.6470472547743,3.1385991838243275,0.001013595982739288,0.04106485843658447,232.24719748358532,cuda,residual_expert,0.4
21,129024,0.26970329880714417,0.00390625,-0.0025301986994842687,459.7271219889323,3.1398266421424017,0.0021305396835992318,0.03360903263092041,256.15126682252384,cuda,residual_expert,0.4
22,135168,0.24339531362056732,0.00390625,-0.0006508438640998469,431.45619710286456,3.140658828947279,0.0006149557593744248,0.05426293611526489,242.7186463134419,cuda,residual_expert,0.4
23,141312,0.33349624276161194,0.0045572915114462376,-0.0003635285732646783,484.35702175564234,3.141094525655111,0.001232411165902805,0.05806618928909302,267.66824240354833,cuda,residual_expert,0.4
24,147456,0.2528670132160187,0.00390625,-0.00011605068316890133,406.9301283094618,3.1402107874552407,0.0017552175138714826,0.03415417671203613,230.75180671997515,cuda,residual_expert,0.4
25,153600,0.34890225529670715,0.0048828125,-0.0002827434800565243,506.55080159505206,3.1393043994903564,0.00024038645076668926,0.05193519592285156,265.05879231859046,cuda,residual_expert,0.4
26,159744,0.286835253238678,0.0035807292442768812,-2.9992726114061144e-05,378.3427429199219,3.1392299864027233,0.00032050759182311594,0.05797910690307617,234.06861749809045,cuda,residual_expert,0.4
27,165888,0.31397947669029236,0.0045572915114462376,-0.0005954061117437151,452.45372517903644,3.1402251985338,0.0014822700436020063,0.06234389543533325,249.75762276805062,cuda,residual_expert,0.4
28,172032,0.2921755015850067,0.0048828125,-0.0009938461913002862,553.4875827365452,3.1418648031022816,0.00042285875275006727,0.05326485633850098,231.7128123379221,cuda,residual_expert,0.4
29,178176,0.2723378837108612,0.0032552082557231188,-0.0012910701593177186,338.8694085015191,3.1430043114556208,0.001092992435183583,0.1101691722869873,256.85532893047485,cuda,residual_expert,0.4
30,184320,0.2759605348110199,0.0055338540114462376,-0.0016162243619975117,543.3691677517361,3.1434932814704046,0.0009406391440683769,0.07827472686767578,221.87620412282905,cuda,residual_expert,0.4
31,190464,0.29370632767677307,0.0048828125,-0.00036385971018009714,507.90834554036456,3.144220881991916,0.0010527709835312432,0.09237313270568848,250.7531892608121,cuda,residual_expert,0.4
32,196608,0.2573554217815399,0.0045572915114462376,-0.0018304899955789249,479.5933837890625,3.145530435774061,0.0020585539589066887,0.08078479766845703,232.89454538848133,cuda,residual_expert,0.4
33,202752,0.31176313757896423,0.0035807292442768812,9.275258829196294e-05,414.71581013997394,3.146177980634901,0.00036099272741315264,0.09435850381851196,262.4086841910187,cuda,residual_expert,0.4
34,208896,0.25230613350868225,0.0032552082557231188,-0.0012607462704181671,286.8268330891927,3.1465137004852295,0.0009363990910868677,0.07502150535583496,235.47314065626327,cuda,residual_expert,0.4
35,215040,0.393291711807251,0.0061848959885537624,0.00013673072680830956,689.3083835177952,3.147272268931071,0.0008141951208623747,0.07918035984039307,261.3371901815373,cuda,residual_expert,0.4
36,221184,0.207516610622406,0.0026041667442768812,-0.00104135036882427,260.96421813964844,3.1480358176761203,0.0003652188655299445,0.06516355276107788,240.19743095418434,cuda,residual_expert,0.4
